Region,date,crop,price_tzs_per_kg,source_pdf,source_url
Arusha,2024-08-21,Beans,2000,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Arusha,2024-08-21,Rice,2200,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Dar es Salaam,2024-08-21,Beans,3000,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Dar es Salaam,2024-08-21,Rice,2500,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Dodoma,2024-08-21,Beans,3100,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Dodoma,2024-08-21,Rice,1700,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Geita,2024-08-21,Beans,3100,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Geita,2024-08-21,Rice,1500,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Iringa,2024-08-21,Beans,2500,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
Iringa,2024-08-21,Rice,1500,sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf,https://www.kilimo.go.tz/uploads/documents/sw-1726505751-Mwenendo_wa_Bei_za_Mazao_tarehe_19-_23_Agosti__2024..._(3).pdf
