Region,date,Beans,Rice
Arusha,2024-08-21,2000.0,2200.0
Arusha,2024-12-18,2700.0,3000.0
Arusha,2025-01-13,2700.0,3400.0
Arusha,2025-02-05,2700.0,2900.0
Arusha,2025-02-12,2700.0,2900.0
Arusha,2025-02-19,2700.0,2900.0
Arusha,2025-02-26,2700.0,3000.0
Arusha,2025-03-05,3200.0,2000.0
Arusha,2025-03-12,2500.0,3000.0
Arusha,2025-03-26,2600.0,2900.0
Arusha,2025-05-07,2800.0,2900.0
Arusha,2025-05-14,2800.0,2900.0
Arusha,2025-05-21,2800.0,3000.0
Arusha,2025-05-28,2800.0,2900.0
Arusha,2025-06-04,2700.0,2800.0
Arusha,2025-06-11,2600.0,2800.0
Arusha,2025-06-18,2400.0,2900.0
Arusha,2025-06-25,2300.0,3000.0
Arusha,2025-07-23,2100.0,3000.0
Arusha,2025-08-06,2100.0,3000.0
Arusha,2025-08-13,2100.0,3000.0
Arusha,2025-08-20,2200.0,3000.0
Arusha,2025-08-27,2200.0,3000.0
Arusha,2025-09-03,2100.0,3000.0
Arusha,2025-09-10,2200.0,3000.0
Arusha,2025-09-17,2100.0,3000.0
Arusha,2025-10-22,2100.0,2900.0
Arusha,2025-11-05,2100.0,2800.0
Arusha,2025-11-12,2100.0,2800.0
Arusha,2025-11-19,2000.0,3000.0
Arusha,2025-11-26,2100.0,2800.0
Arusha,2025-12-17,2200.0,2800.0
Arusha,2026-01-07,2300.0,3300.0
Arusha,2026-01-14,2100.0,3100.0
Arusha,2026-01-21,2100.0,3100.0
Arusha,2026-01-28,2100.0,3100.0
Arusha,2026-02-04,2100.0,2900.0
Arusha,2026-02-11,2100.0,2900.0
Arusha,2026-02-18,2100.0,2900.0
Arusha,2026-02-25,2100.0,2900.0
Arusha,2026-03-04,1600.0,2900.0
Arusha,2026-03-11,1700.0,2900.0
Arusha,2026-03-25,2000.0,3000.0
Arusha,2026-04-08,2100.0,2900.0
Arusha,2026-04-15,2100.0,2900.0
Arusha,2026-04-22,2100.0,2900.0
Dar es Salaam,2024-08-21,3000.0,2500.0
Dar es Salaam,2024-12-18,3200.0,2300.0
Dar es Salaam,2025-01-13,3400.0,2400.0
Dar es Salaam,2025-02-12,3300.0,2500.0
Dar es Salaam,2025-02-19,3400.0,2400.0
Dar es Salaam,2025-02-26,,2500.0
Dar es Salaam,2025-03-05,3400.0,2500.0
Dar es Salaam,2025-03-12,3400.0,2500.0
Dar es Salaam,2025-03-26,3400.0,2700.0
Dar es Salaam,2025-05-07,3300.0,2700.0
Dar es Salaam,2025-05-14,3300.0,2700.0
Dar es Salaam,2025-05-21,3300.0,2600.0
Dar es Salaam,2025-05-28,3300.0,2500.0
Dar es Salaam,2025-06-04,3300.0,2400.0
Dar es Salaam,2025-06-11,3300.0,2500.0
Dar es Salaam,2025-06-18,3500.0,2600.0
Dar es Salaam,2025-06-25,3400.0,2700.0
Dar es Salaam,2025-07-23,,2500.0
Dar es Salaam,2025-08-13,2900.0,2400.0
Dar es Salaam,2025-08-20,2900.0,2500.0
Dar es Salaam,2025-08-27,3000.0,2500.0
Dar es Salaam,2025-09-03,2800.0,2600.0
Dar es Salaam,2025-09-10,2800.0,2600.0
Dar es Salaam,2025-09-17,2500.0,2500.0
Dar es Salaam,2025-10-22,2500.0,2600.0
Dar es Salaam,2025-11-05,3100.0,2500.0
Dar es Salaam,2025-11-12,3000.0,2600.0
Dar es Salaam,2025-11-19,2900.0,2700.0
Dar es Salaam,2025-11-26,2900.0,2600.0
Dar es Salaam,2025-12-17,2800.0,2700.0
Dar es Salaam,2026-01-07,2900.0,2600.0
Dar es Salaam,2026-01-14,2900.0,2900.0
Dar es Salaam,2026-01-21,2800.0,2800.0
Dar es Salaam,2026-01-28,2800.0,2900.0
Dar es Salaam,2026-02-04,2900.0,2900.0
Dar es Salaam,2026-02-11,3200.0,2900.0
Dar es Salaam,2026-02-18,2700.0,3000.0
Dar es Salaam,2026-02-25,2700.0,2900.0
Dar es Salaam,2026-03-04,2800.0,3000.0
Dar es Salaam,2026-03-11,2900.0,3000.0
